,location,total_sqft,bath,price,bhk
0, Devarabeesana Halli,1672.0,3.0,150.0,3
1, Devarabeesana Halli,1750.0,3.0,149.0,3
2, Devarabeesana Halli,1750.0,3.0,150.0,3
4, Devarachikkanahalli,1250.0,2.0,40.0,2
5, Devarachikkanahalli,1200.0,2.0,83.0,2
6, Devarachikkanahalli,1170.0,2.0,40.0,2
7, Devarachikkanahalli,1425.0,2.0,65.0,3
8, Devarachikkanahalli,947.0,2.0,43.0,2
9, Devarachikkanahalli,1130.0,2.0,36.0,2
10, Devarachikkanahalli,1417.0,2.0,76.0,3
11, Devarachikkanahalli,1230.0,2.0,58.0,2
12, Devarachikkanahalli,1705.0,3.0,75.0,3
13, Devarachikkanahalli,1116.0,2.0,47.0,2
14, Devarachikkanahalli,991.0,2.0,40.0,2
16, Electronic City,435.0,1.0,19.5,1
17, Electronic City,550.0,1.0,27.0,1
18, Mysore Highway,1450.0,2.0,70.0,3
19, Mysore Highway,700.0,1.0,25.5,1
20, Rachenahalli,440.0,1.0,28.0,1
21, Thanisandra,510.0,1.0,25.25,1
22, Thanisandra,510.0,1.0,25.25,1
23, south,2400.0,2.0,480.0,3
24,1st Block BEL Layout,1540.0,3.0,85.0,3
25,1st Block BEL Layout,1800.0,5.0,250.0,4
26,1st Block HBR Layout,600.0,1.0,45.0,1
27,1st Block HBR Layout,3150.0,4.0,150.0,4
28,1st Block HRBR Layout,2300.0,3.0,80.0,3
29,1st Block HRBR Layout,1250.0,2.0,67.0,2
30,1st Block Jayanagar,2850.0,4.0,428.0,4
31,1st Block Jayanagar,1630.0,3.0,194.0,3
32,1st Block Jayanagar,1875.0,2.0,235.0,3
33,1st Block Jayanagar,1200.0,2.0,130.0,3
34,1st Block Jayanagar,1235.0,2.0,148.0,2
35,1st Block Jayanagar,2750.0,4.0,413.0,4
36,1st Block Jayanagar,2450.0,4.0,368.0,4
37,1st Block Koramangala,1415.0,2.0,110.0,2
38,1st Block Koramangala,860.0,2.0,65.5,2
39,1st Block Koramangala,3000.0,3.0,300.0,4
40,1st Block Koramangala,2350.0,3.0,210.0,3
41,1st Block Koramangala,3000.0,5.0,500.0,4
43,1st Phase JP Nagar,1875.0,3.0,167.0,3
44,1st Phase JP Nagar,1500.0,5.0,85.0,5
45,1st Phase JP Nagar,2065.0,4.0,210.0,3
47,1st Phase JP Nagar,2059.0,3.0,225.0,3
48,1st Phase JP Nagar,1394.0,2.0,100.0,2
49,1st Phase JP Nagar,1077.0,2.0,93.0,2
50,1st Phase JP Nagar,1566.0,2.0,180.0,2
51,1st Phase JP Nagar,840.0,2.0,50.0,1
52,1st Phase JP Nagar,1590.0,3.0,131.0,3
53,1st Phase JP Nagar,2180.0,3.0,210.0,3
54,1st Phase JP Nagar,1180.0,2.0,88.5,2
55,1st Phase JP Nagar,1200.0,2.0,86.0,2
56,1st Phase JP Nagar,1394.0,2.0,85.0,2
57,1st Phase JP Nagar,2077.0,3.0,175.0,3
59,1st Phase JP Nagar,1205.0,2.0,85.0,2
61,1st Phase JP Nagar,900.0,2.0,75.0,2
62,1st Stage Indira Nagar,1400.0,2.0,67.0,2
63,1st Stage Indira Nagar,1200.0,2.0,55.0,2
64,1st Stage Indira Nagar,940.0,2.0,56.0,2
65,1st Stage Indira Nagar,3000.0,4.0,301.0,4
66,2nd Block Hrbr Layout,1480.0,3.0,90.0,3
67,2nd Block Hrbr Layout,1480.0,3.0,90.0,3
68,2nd Block Hrbr Layout,1550.0,3.0,110.0,3
69,2nd Block Hrbr Layout,1350.0,4.0,235.0,4
70,2nd Block Jayanagar,1718.0,3.0,223.0,3
71,2nd Block Jayanagar,1000.0,2.0,97.0,2
72,2nd Phase JP Nagar,2800.0,4.0,200.0,5
73,2nd Phase JP Nagar,1000.0,1.0,55.0,2
